project,x,ts,sy,ms,ds,hhs,mms,sss,x,te,ye,me,de,hhe,mme,sse,x,tt,td,thh,tmm,tss,
nada,x,1663195365,2022,9,14,22,42,45,x,1663195390,2022,9,14,22,43,10,x,25,0,00,00,25,nada
comer,x,1663195390,2022,9,14,22,43,10,x,1663195394,2022,9,14,22,43,14,x,4,0,00,00,04,
nada,x,1663195394,2022,9,14,22,43,14,x,1663195522,2022,9,14,22,45,22,x,128,0,00,02,08,nada
lanche,x,1663195522,2022,9,14,22,45,22,x,1663195525,2022,9,14,22,45,25,x,3,0,00,00,03,lanche
nada,x,1663195525,2022,9,14,22,45,25,x,1663195528,2022,9,14,22,45,28,x,3,0,00,00,03,nada
lanche,x,1663195528,2022,9,14,22,45,28,x,1663195533,2022,9,14,22,45,33,x,5,0,00,00,05,lanche
nada,x,1663195533,2022,9,14,22,45,33,x,1663195559,2022,9,14,22,45,59,x,26,0,00,00,26,nada
lanche,x,1663195559,2022,9,14,22,45,59,x,1663195563,2022,9,14,22,46,03,x,4,0,00,00,04,asdasdasd
comer,x,1663195563,2022,9,14,22,46,03,x,1663195571,2022,9,14,22,46,11,x,8,0,00,00,08,asdasdasdasd
nlp,x,1663195571,2022,9,14,22,46,11,x,1663195577,2022,9,14,22,46,17,x,6,0,00,00,06,sadasdasdasd
nada,x,1663195577,2022,9,14,22,46,17,x,1663195586,2022,9,14,22,46,26,x,9,0,00,00,09,nada
lanche,x,1663195586,2022,9,14,22,46,26,x,1663195588,2022,9,14,22,46,28,x,2,0,00,00,02,lanche
nada,x,1663195588,2022,9,14,22,46,28,x,1663195589,2022,9,14,22,46,29,x,1,0,00,00,01,lanche
comer,x,1663195589,2022,9,14,22,46,29,x,1663195591,2022,9,14,22,46,31,x,2,0,00,00,02,nada
comer,x,1663195591,2022,9,14,22,46,31,x,1663195601,2022,9,14,22,46,41,x,10,0,00,00,10,
nlp,x,1663195601,2022,9,14,22,46,41,x,1663195607,2022,9,14,22,46,47,x,6,0,00,00,06,
comer,x,1663195607,2022,9,14,22,46,47,x,1663195613,2022,9,14,22,46,53,x,6,0,00,00,06,
postdoc,x,1663195613,2022,9,14,22,46,53,x,1663195619,2022,9,14,22,46,59,x,6,0,00,00,06,
comer,x,1663195619,2022,9,14,22,46,59,x,1663195625,2022,9,14,22,47,05,x,6,0,00,00,06,
nada,x,1663195625,2022,9,14,22,47,05,x,1663195630,2022,9,14,22,47,10,x,5,0,00,00,05,nada
lanche,x,1663195630,2022,9,14,22,47,10,x,1663195633,2022,9,14,22,47,13,x,3,0,00,00,03,lanche
comer,x,1663195633,2022,9,14,22,47,13,x,1663195637,2022,9,14,22,47,17,x,4,0,00,00,04,
nada,x,1663195637,2022,9,14,22,47,17